32000	134.86	0.03	0.002	1.86455	0.02967	0.000045
10500	134.75	0.07	0.006	0.99991	0.07309	0.000184
9200	134.11	0.07	0.007	1.21481	0.02320	0.000253
1000	137.35	0.67	0.064	2.40137	0.09441	0.002023
400	142.17	2.36	0.160	2.74282	0.17833	0.004258
350	142.34	2.73	0.181	2.21371	0.31142	0.005442
300	143.65	3.73	0.215	2.08212	0.57489	0.004477
250	146.28	5.03	0.258	1.50488	0.39567	0.004379
200	151.29	7.85	0.322	1.57399	0.76966	0.009245
180	154.32	9.82	0.351	2.53336	0.85325	0.008860
160	158.32	12.43	0.396	1.84636	1.02300	0.010950
150	162.19	15.49	0.422	2.02361	1.67252	0.006944
100	226.46	70.26	0.632	22.94929	21.78122	0.013474
90	324.81	163.40	0.711	52.60025	51.52182	0.017354
80	556.31	395.03	0.758	182.05246	180.42139	0.008783
70	936.95	771.51	0.834	393.18326	390.84869	0.017630
50	2582.61	2412.93	0.943	1386.29053	1384.55347	0.035626
