32000	153.63	0.02	0.002	0.63298	0.00485	0.000112
10500	153.72	0.05	0.005	0.86157	0.01012	0.000392
9200	153.71	0.06	0.006	0.78575	0.00929	0.000379
1000	155.89	0.68	0.061	0.82098	0.06498	0.002586
400	160.95	2.48	0.152	0.91099	0.18492	0.005429
350	161.33	2.74	0.165	0.88087	0.31588	0.010366
300	163.95	3.81	0.198	1.19208	0.35280	0.009329
250	166.74	5.35	0.238	1.33883	0.57335	0.012168
200	170.77	7.54	0.281	2.88566	1.63248	0.028379
180	176.11	10.88	0.333	1.77873	1.00008	0.011954
160	182.77	15.06	0.375	3.65205	2.35576	0.024358
150	186.37	17.77	0.402	2.42514	1.45016	0.010523
100	262.99	83.08	0.596	28.02459	25.97169	0.033818
90	382.86	197.85	0.665	80.98750	79.64631	0.017372
80	4110.41	3921.65	0.710	1785.52307	1784.43542	0.028042
70	20320.14	20128.28	0.762	10917.21191	10917.87793	0.011083
50	53461.82	53266.64	0.829	28792.98633	28794.45313	0.013575
