32000	302.93	0.46	0.035	5.38214	1.39798	0.010090
10500	304.78	0.51	0.106	5.86564	1.44318	0.029641
9200	306.64	0.47	0.122	5.93568	1.29493	0.034992
1000	310.01	1.82	1.077	4.65570	2.04059	0.176285
400	328.40	12.54	2.589	16.36795	2.74281	0.073614
350	329.77	16.05	2.924	16.79081	2.04419	0.049133
300	349.87	33.79	3.391	27.36399	11.34049	0.104072
250	379.59	64.34	3.987	45.46558	32.52666	0.267704
200	392.71	79.37	4.829	52.34411	33.85415	0.475770
180	402.29	92.21	5.233	56.25897	38.89156	0.620384
160	427.33	115.15	5.738	70.86316	50.26295	0.732096
150	444.94	134.30	5.932	80.31921	60.43811	0.807872
100	603.66	297.34	6.973	194.60071	172.34386	1.106134
90	623.15	320.25	7.076	208.23015	188.32271	1.129026
80	658.38	357.69	7.277	232.68620	211.76785	1.224695
70	696.90	398.87	7.280	260.72186	239.12184	1.160828
50	783.49	493.77	7.531	316.59775	295.66263	1.259933
