32000	639.16	3.06	0.035	14.62478	9.13859	0.011049
10500	635.70	3.83	0.108	12.71408	9.83631	0.028256
9200	636.76	3.96	0.122	13.53181	9.53670	0.032078
1000	1172.60	521.48	0.931	327.11145	318.73624	0.067070
400	825.70	164.31	2.078	108.38745	71.39297	0.185126
350	878.58	207.96	2.362	126.09136	86.24554	0.271791
300	979.62	311.12	2.582	194.05998	147.78970	0.321831
250	1171.14	515.68	2.829	322.98660	279.04791	0.389106
200	1279.50	640.72	3.102	405.75476	363.93781	0.466992
180	1342.50	707.42	3.171	459.12170	415.16977	0.491636
160	1392.51	775.86	3.256	515.87244	469.90082	0.501207
150	1388.93	781.82	3.334	514.28320	465.95352	0.521011
100	1451.03	888.67	3.541	585.65009	543.17047	0.557861
90	1465.63	912.64	3.598	605.42206	561.14252	0.583165
80	1488.07	950.92	3.611	621.92450	579.54584	0.556581
70	1506.47	983.24	3.659	638.52100	598.97522	0.575596
50	1682.69	1180.14	3.691	751.52509	711.56378	0.567350
