32000	115.78	0.02	0.002	1.15525	0.03076	0.000041
10500	115.61	0.06	0.006	1.23520	0.02812	0.000105
9200	115.91	0.06	0.007	0.93962	0.02185	0.000273
1000	117.13	0.65	0.064	0.59689	0.07532	0.001905
400	120.44	2.04	0.160	0.87467	0.22790	0.004791
350	121.61	2.26	0.183	1.54694	0.24307	0.002448
300	122.96	2.94	0.214	1.79880	0.28824	0.002796
250	124.14	4.03	0.260	1.25705	0.40176	0.005596
200	128.36	5.94	0.317	1.65641	0.52157	0.007079
180	130.53	7.24	0.352	1.98723	0.67884	0.007808
160	132.16	8.91	0.396	2.23412	1.00246	0.013981
150	135.54	10.62	0.424	1.98973	1.44023	0.013887
100	164.37	32.44	0.634	7.71693	6.68967	0.013794
90	190.04	56.33	0.706	16.79891	16.06472	0.016154
80	254.68	117.60	0.785	45.88122	44.94203	0.021723
70	458.63	318.74	0.879	146.69852	145.34097	0.028336
50	1434.72	1286.57	1.062	698.99982	695.71149	0.041396
