32000	612.82	0.26	0.008	8.30144	0.30351	0.000411
10500	611.76	0.62	0.025	7.79053	0.25386	0.001478
9200	612.21	0.64	0.028	8.66784	0.40565	0.001612
1000	643.89	13.88	0.258	5.39732	1.30747	0.005450
400	1199.08	525.92	0.613	259.39594	247.48578	0.025832
350	1415.21	745.19	0.678	410.81088	399.98383	0.036018
300	1610.82	946.77	0.763	536.24103	524.07318	0.046971
250	1664.14	997.44	0.877	517.78204	502.57504	0.063034
200	2027.97	1354.55	0.991	702.58087	680.19739	0.091231
180	2273.27	1598.14	1.027	827.26605	805.97504	0.096998
160	2765.65	2087.83	1.055	1185.53101	1160.77222	0.101784
150	3084.57	2403.84	1.074	1324.58337	1302.87036	0.111076
100	4734.56	4054.63	1.098	2401.11841	2382.08960	0.111405
90	5050.44	4372.85	1.114	2618.18896	2595.37183	0.107887
80	5394.70	4718.10	1.110	2843.96265	2816.93115	0.099864
70	5966.03	5282.19	1.112	3132.52637	3109.80762	0.118785
50	6847.14	6163.50	1.113	3713.12988	3691.29517	0.105562
