32000	115.41	0.02	0.002	0.59750	0.00686	0.000103
10500	115.57	0.05	0.005	0.54872	0.00976	0.000444
9200	115.48	0.06	0.006	0.63487	0.01135	0.000431
1000	117.04	0.61	0.061	0.69653	0.05371	0.002805
400	120.03	1.84	0.154	0.64110	0.12290	0.004959
350	120.62	2.16	0.169	0.64803	0.23486	0.010877
300	121.56	2.57	0.195	0.85279	0.24028	0.011600
250	123.17	3.44	0.237	0.83745	0.26809	0.012157
200	124.54	4.17	0.263	2.14281	0.99454	0.038707
180	127.91	5.89	0.323	1.09581	0.53153	0.014990
160	129.87	7.15	0.360	1.58601	0.94419	0.024123
150	132.90	8.98	0.402	1.42218	0.68883	0.013724
100	154.11	24.56	0.588	6.43637	5.30842	0.035561
90	166.65	35.21	0.644	9.43554	8.42119	0.028765
80	862.47	726.42	0.752	293.05142	292.67581	0.041617
70	2296.91	2158.82	0.805	805.37524	806.63477	0.037788
50	15898.53	15750.14	1.047	8141.34961	8142.00684	0.018935
