32000	203.58	0.12	0.008	2.27807	0.31770	0.000359
10500	203.86	0.15	0.024	2.07841	0.32579	0.001059
9200	203.79	0.17	0.028	2.25689	0.33235	0.001228
1000	207.03	0.80	0.257	2.27008	0.21745	0.008661
400	214.02	3.41	0.642	3.23481	0.48782	0.020979
350	215.38	4.21	0.734	3.08162	0.43512	0.019554
300	217.33	5.60	0.854	2.39756	1.13421	0.023711
250	224.71	10.28	1.038	2.76597	1.12154	0.026795
200	233.00	16.36	1.258	4.19036	1.70085	0.026950
180	250.93	30.41	1.424	9.15175	5.95830	0.051803
160	276.06	54.10	1.591	16.47480	11.23730	0.046438
150	316.22	93.30	1.682	42.78119	37.79880	0.069942
100	542.72	318.09	2.270	182.64297	178.15236	0.119478
90	539.65	316.57	2.452	180.77657	175.79355	0.169783
80	559.75	337.09	2.659	171.77885	166.80855	0.198174
70	641.84	417.48	2.894	221.68610	216.19919	0.263811
50	1040.99	815.42	3.186	462.14883	454.58618	0.301174
