32000	403.66	0.17	0.002	4.39798	0.06978	0.000048
10500	406.19	0.52	0.006	3.77462	0.11974	0.000129
9200	406.39	0.50	0.007	4.67690	0.14987	0.000133
1000	428.35	8.60	0.063	4.58344	0.71619	0.001637
400	514.78	63.58	0.158	12.77943	8.08077	0.004072
350	545.15	89.39	0.178	14.66177	9.08749	0.004970
300	637.20	168.30	0.208	28.37413	24.53152	0.004715
250	1424.22	935.92	0.251	386.26938	380.20670	0.004226
200	3773.35	3271.81	0.286	1683.35840	1676.97644	0.008347
180	4741.82	4239.90	0.300	2353.71729	2348.00757	0.010299
160	6792.19	6286.66	0.309	3414.11133	3407.24438	0.011388
150	7403.30	6897.41	0.314	4012.83862	4008.19971	0.010086
100	12571.11	12051.90	0.331	7274.34570	7265.91309	0.010630
90	13078.35	12559.52	0.338	7507.91016	7503.45898	0.010423
80	14514.26	13988.65	0.341	8218.65918	8215.25879	0.012974
70	15368.52	14843.96	0.342	8930.62988	8925.50684	0.012989
50	18881.64	18358.40	0.346	11089.34082	11084.42578	0.009531
