32000	377.65	0.28	0.035	4.11237	0.80852	0.010255
10500	377.95	0.36	0.107	4.16629	0.96628	0.030545
9200	380.91	0.32	0.123	4.84125	0.79450	0.034661
1000	384.56	2.02	1.076	6.11880	1.55659	0.146132
400	407.33	18.29	2.584	29.19572	4.96430	0.069672
350	419.62	28.79	2.920	36.16552	6.20672	0.108717
300	450.79	59.52	3.310	48.38091	18.20099	0.216131
250	496.77	112.56	3.822	82.11445	57.56881	0.318164
200	540.83	166.82	4.394	122.56324	100.94946	0.471567
180	547.42	177.36	4.780	123.83687	100.37573	0.591741
160	543.42	179.40	5.168	123.05728	98.53624	0.678494
150	544.40	181.10	5.408	126.06716	100.89584	0.750014
100	638.36	287.40	6.612	183.96579	157.43469	1.162045
90	678.65	328.55	6.710	214.04289	186.23669	1.199095
80	706.74	363.27	6.916	235.25566	209.75668	1.232890
70	765.25	424.50	6.886	278.98663	252.56606	1.198199
50	908.86	577.84	6.954	371.43878	346.48560	1.206743
