32000	308.63	0.20	0.008	3.52751	0.49421	0.000440
10500	308.01	0.33	0.025	3.22693	0.48152	0.001313
9200	311.85	0.26	0.028	2.88502	0.31240	0.001764
1000	323.83	7.61	0.258	2.27340	3.23197	0.011989
400	1018.09	692.18	0.595	386.87973	385.72583	0.010597
350	1053.72	725.00	0.664	419.32529	417.39685	0.010535
300	963.14	632.20	0.760	369.35886	369.71140	0.019337
250	872.00	538.11	0.889	323.09229	320.24500	0.021841
200	773.56	430.44	1.098	219.59109	214.74605	0.047348
180	821.11	475.72	1.187	255.85747	251.16049	0.059785
160	923.10	574.27	1.297	289.23346	283.89639	0.053234
150	1103.66	754.29	1.330	417.99127	414.72833	0.084797
100	1704.23	1363.70	1.572	812.29065	803.39850	0.102491
90	1755.11	1415.88	1.640	835.40710	825.56390	0.123366
80	1847.34	1511.96	1.671	868.69299	861.04089	0.127887
70	2012.36	1676.71	1.724	958.93347	949.29639	0.135064
50	2437.45	2113.72	1.800	1244.55859	1237.09143	0.151844
