32000	369.87	3.27	0.035	13.69862	9.79409	0.009843
10500	368.37	3.62	0.109	13.14901	9.20967	0.029374
9200	370.51	3.95	0.122	14.18037	9.80505	0.034998
1000	864.61	487.06	0.957	302.36185	298.62003	0.106620
400	493.67	108.99	2.194	74.63062	63.99534	0.067519
350	490.98	103.22	2.475	65.72731	51.37414	0.087550
300	503.34	115.05	2.814	72.72440	54.58596	0.158202
250	514.60	132.02	3.254	87.11273	65.90020	0.248443
200	566.21	188.80	3.868	127.89210	106.17301	0.372780
180	573.92	201.33	4.040	138.88481	118.57755	0.406203
160	590.48	224.36	4.404	151.73718	133.29350	0.518096
150	578.95	213.83	4.624	143.71701	121.60107	0.565123
100	649.52	296.09	5.749	191.94608	167.27802	0.884621
90	669.59	320.94	6.006	204.95842	180.21040	0.971705
80	726.68	377.37	6.114	242.74919	217.47800	0.995211
70	771.49	427.90	6.177	280.03976	253.64069	0.999100
50	905.48	571.07	6.382	368.17892	345.19385	1.049204
