32000	295.87	4.17	0.036	19.98614	12.69029	0.011154
10500	294.43	3.16	0.107	13.72830	8.12366	0.027931
9200	297.75	5.17	0.123	19.96128	14.13013	0.036650
1000	741.17	439.80	0.983	256.19235	255.64320	0.160539
400	453.17	141.50	2.197	92.31731	85.37295	0.091887
350	425.39	114.85	2.486	69.09484	62.26796	0.041477
300	411.77	99.05	2.834	66.34283	56.42211	0.079833
250	411.19	95.78	3.308	62.29750	48.74181	0.148142
200	416.60	103.20	4.050	63.34312	49.86849	0.344724
180	427.58	116.13	4.319	73.54523	59.05252	0.385128
160	434.01	124.75	4.782	74.32732	57.90784	0.530020
150	446.08	135.32	5.037	82.60686	65.96111	0.564228
100	561.81	255.82	6.229	161.01442	142.20929	0.928314
90	611.23	306.93	6.422	197.46814	176.84900	0.977757
80	644.96	340.13	6.644	208.53418	190.34903	1.050250
70	667.05	367.57	6.754	234.87265	214.61421	1.042186
50	758.21	466.54	7.063	298.87860	278.12463	1.118109
